"","country","date","E","C","TR","Y","URB"
"1","Aruba",1990,NA,NA,NA,24007.4957081744,50.319
"2","Aruba",1991,NA,NA,NA,25097.2721099909,50.304
"3","Aruba",1992,NA,NA,NA,25692.2384598819,49.998
"4","Aruba",1993,NA,NA,NA,26743.7228041228,49.588
"5","Aruba",1994,NA,NA,NA,28027.5156353729,49.177
"6","Aruba",1995,NA,NA,171.362098138748,27868.5430751046,48.767
"7","Aruba",1996,NA,NA,175.344129554656,27358.5421213954,48.356
"8","Aruba",1997,NA,NA,168.781911013858,28413.1440057025,47.946
"9","Aruba",1998,NA,NA,163.267359946327,28121.3155796027,47.536
"10","Aruba",1999,NA,NA,164.559014267185,27646.1956456575,47.127
"11","Aruba",2000,NA,NA,145.093945720251,29005.9333738747,46.717
"12","Aruba",2001,NA,NA,140.382916053019,29693.1399149667,46.339
"13","Aruba",2002,NA,NA,133.200455580866,29059.4865095137,45.972
"14","Aruba",2003,NA,NA,132.795845859524,29093.5782378862,45.606
"15","Aruba",2004,NA,NA,132.433102081269,30931.9364997363,45.24
"16","Aruba",2005,NA,NA,145.075757575758,30505.3391939872,44.875
"17","Aruba",2006,NA,NA,141.054060167383,30490.3658419122,44.511
"18","Aruba",2007,NA,NA,139.954099728771,31051.0015717696,44.147
"19","Aruba",2008,NA,NA,139.123599921399,31230.193038317,43.783
"20","Aruba",2009,NA,NA,137.562896521549,27243.3332022516,43.421
"21","Aruba",2010,NA,NA,135.473588342441,26200.7273001561,43.059
"22","Aruba",2011,NA,NA,154.42609063956,26829.634480299,42.94
"23","Aruba",2012,NA,NA,156.654560991241,26337.5850592423,42.957
"24","Afghanistan",1990,NA,0.222441830587512,NA,NA,21.177
"25","Afghanistan",1991,NA,0.207886019826402,NA,NA,21.266
"26","Afghanistan",1992,NA,0.115096637899626,NA,NA,21.355
"27","Afghanistan",1993,NA,0.0957807046107617,NA,NA,21.444
"28","Afghanistan",1994,NA,0.0834580188158885,NA,NA,21.534
"29","Afghanistan",1995,NA,0.0755403281289284,NA,NA,21.624
"30","Afghanistan",1996,NA,0.0687278795107969,NA,NA,21.714
"31","Afghanistan",1997,NA,0.0617354080672809,NA,NA,21.805
"32","Afghanistan",1998,NA,0.0562370938573304,NA,NA,21.895
"33","Afghanistan",1999,NA,0.0422211732253285,NA,NA,21.986
"34","Afghanistan",2000,NA,0.0388998976717064,NA,NA,22.078
"35","Afghanistan",2001,NA,0.0373229587510194,NA,NA,22.169
"36","Afghanistan",2002,NA,0.0492198761767476,NA,359.766342668484,22.261
"37","Afghanistan",2003,NA,0.0538176199474236,NA,363.101481459528,22.353
"38","Afghanistan",2004,NA,0.0439257333214852,NA,354.033912870345,22.5
"39","Afghanistan",2005,NA,0.063577848372904,NA,379.955829325586,22.703
"40","Afghanistan",2006,NA,0.0693386740150825,NA,384.078305241572,22.907
"41","Afghanistan",2007,NA,0.0683854926443545,NA,429.412537341828,23.113
"42","Afghanistan",2008,NA,0.134885274826137,NA,437.420026808226,23.32
"43","Afghanistan",2009,NA,0.178123619355445,NA,512.409279249256,23.528
"44","Afghanistan",2010,NA,0.252083458083514,NA,569.282712026308,23.737
"45","Afghanistan",2011,NA,0.30525973791313,NA,551.000970270826,23.948
"46","Afghanistan",2012,NA,0.265190801995859,NA,596.4428151196,24.16
"47","Angola",1990,497.365461687136,0.554941321223965,NA,2245.14986233344,37.144
"48","Angola",1991,492.615358422255,0.545814756460851,NA,2193.2307318334,38.58
"49","Angola",1992,479.527381223695,0.544412918195889,NA,1999.16723697919,40.039
"50","Angola",1993,481.173345850331,0.710968556411242,NA,1472.40418926403,41.511
"51","Angola",1994,472.397961347734,0.839273806456099,NA,1445.1555674591,43
"52","Angola",1995,456.745359648074,0.914278945329703,NA,1608.1463161945,44.169
"53","Angola",1996,454.603482498861,1.07363722637633,NA,1766.15405420205,45.346
"54","Angola",1997,449.267258891816,1.08633860497369,NA,1832.48231220505,46.525
"55","Angola",1998,433.677424359323,1.0911855535391,NA,1856.55977569568,47.71
"56","Angola",1999,441.055254278105,1.10980367472167,NA,1836.82965292745,48.897
"57","Angola",2000,438.58776427709,0.988428615190061,152.547109454858,1832.51410187734,50.087
"58","Angola",2001,443.087769758524,0.941824399331657,150.335794690093,1847.87473575957,51.274
"59","Angola",2002,448.345608584175,0.895728219557975,105.301592311218,2031.5037258263,52.461
"60","Angola",2003,467.570188203246,0.924993580456604,103.901229551372,2022.03568436553,53.645
"61","Angola",2004,464.486438612497,0.929816406848284,103.579947051466,2166.14771567742,54.827
"62","Angola",2005,433.185633674926,0.81288536981647,106.590962129525,2404.63116884787,56
"63","Angola",2006,458.511115277294,0.821268761463203,94.6251593320477,2587.72505707158,56.764
"64","Angola",2007,471.596701317916,0.811418288291683,108.060067893978,2844.81835453549,57.524
"65","Angola",2008,492.071879511267,0.888614454993061,121.364708453698,3048.59400223225,58.282
"66","Angola",2009,515.36835836524,0.939461803116573,122.446126209604,2963.31598756858,59.034
"67","Angola",2010,520.785338756734,0.975921051814989,104.123648293074,2993.42097429645,59.783
